NRBUDKI;KOLONIA;GATUNEK;LJAJ[k];DATA1ZNIE;DATAZNIE;NRJAJA;KOLZNIE;CIEZAR_ZNIE;DLUGOSC;SREDNICA;LOSJAJA
460/88;DZP;PD;6;21.04.1994;25.04.1994;5;5;2.93;21.54;15.44;niewykl
460/88;DZP;PD;6;21.04.1994;26.04.1994;6;6;2.38;20.37;15.22;WYKL
463/88;LOM;PM;5;30.04.1994;30.04.1994;1;1;2.18;19.92;13.52;WYKL
463/88;LOM;PM;5;30.04.1994;01.05.1994;2;2;2.21;20.13;14.95;WYKL
463/88;LOM;PM;5;30.04.1994;02.05.1994;3;3;2.13;19.4;14.08;WYKL
463/88;LOM;PM;5;30.04.1994;03.05.1994;4;4;2.07;19.18;14.17;WYKL
463/88;LOM;PM;5;30.04.1994;04.05.1994;5;5;2.29;18.76;14.53;WYKL
473/82;LOM;Muscicapa;4;11.05.1994;11.05.1994;1;1;2.45;22.87;14.68;niewykl
473/82;LOM;Muscicapa;4;11.05.1994;12.05.1994;2;2;2.89;20.25;16.78;WYKL
473/82;LOM;Muscicapa;4;11.05.1994;13.05.1994;3;3;2.64;22.5;15.06;WYKL
473/82;LOM;Muscicapa;4;11.05.1994;14.05.1994;4;4;2.52;23.56;15.98;WYKL
475/93;LOM;ParusMayor;5;03.05.1994;03.05.1994;1;1;1.84;20.53;15.47;WYKL
475/93;LOM;ParusMayor;5;03.05.1994;04.05.1994;2;2;1.99;19.68;16.64;WYKL
475/93;LOM;ParusMayor;5;03.05.1994;05.05.1994;3;3;1.7;20.63;16.38;WYKL
475/93;LOM;ParusMayor;5;03.05.1994;06.05.1994;4;4;2.32;20.81;15.32;WYKL
475/93;LOM;ParusMayor;5;03.05.1994;07.05.1994;5;5;1.79;20.45;14.85;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;07.05.1994;1;1;2.12;20.57;15.4;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;08.05.1994;2;2;2.48;19.34;15.15;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;09.05.1994;3;3;2.57;20.15;15.47;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;10.05.1994;4;4;1.58;20.84;14.95;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;11.05.1994;5;5;2.52;19.28;15.4;WYKL
480/92;LOM;ParusMayor;6;07.05.1994;12.05.1994;6;6;1.69;19.69;14.25;WYKL
487/93;DZL;Muscicapa;5;10.04.1994;10.04.1994;1;1;2.15;21.06;16.69;WYKL
487/93;DZL;Muscicapa;5;10.04.1994;11.04.1994;2;2;2.61;22.49;14.6;niewykl
487/93;DZL;Muscicapa;5;10.04.1994;12.04.1994;3;3;2.44;21.78;16.34;WYKL
487/93;DZL;Muscicapa;5;10.04.1994;13.04.1994;4;4;2.66;23.05;14.82;WYKL
487/93;DZL;Muscicapa;5;10.04.1994;14.04.1994;5;5;2.69;21.82;13.91;niewykl
488/93;DZP;PD;5;27.04.1994;27.04.1994;1;1;2.77;23.46;16.05;niewykl
488/93;DZP;PD;5;27.04.1994;28.04.1994;2;2;2.12;21.42;15.62;niewykl
488/93;DZP;PD;5;27.04.1994;29.04.1994;3;3;1.94;21.71;15.37;niewykl
488/93;DZP;PD;5;27.04.1994;30.04.1994;4;4;2.43;22.63;15.22;niewykl
488/93;DZP;PD;5;27.04.1994;01.05.1994;5;5;2.27;22.19;14.83;niewykl
491/88;DZP;PM;5;30.04.1994;30.04.1994;1;1;1.91;19.31;13.91;WYKL
491/88;DZP;PM;5;30.04.1994;01.05.1994;2;2;2.29;19.13;14;WYKL
491/88;DZP;PM;5;30.04.1994;02.05.1994;3;3;2;19.9;14.04;WYKL
491/88;DZP;PM;5;30.04.1994;03.05.1994;4;4;2.2;18.84;13.69;WYKL
491/88;DZP;PM;5;30.04.1994;04.05.1994;5;5;2.28;19.46;13.92;WYKL
498/83;LOM;PM;5;22.04.1994;22.04.1994;1;1;2.1;17.05;13.75;WYKL
498/83;LOM;PM;5;22.04.1994;23.04.1994;2;2;2.25;18.96;14.03;WYKL
498/83;LOM;PM;5;22.04.1994;24.04.1994;3;3;2.2;17.08;14.32;WYKL
498/83;LOM;PM;5;22.04.1994;25.04.1994;4;4;2.33;17.59;14.68;niewykl
498/83;LOM;PM;5;22.04.1994;26.04.1994;5;5;1.95;18.9;13.49;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;02.05.1994;1;01.02.2003;2.11;19.2;13.54;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;03.05.1994;2;01.02.2003;2.14;17.91;12.93;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;04.05.1994;3;01.02.2003;2.15;17.93;13.02;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;05.05.1994;4;4;2.27;19.15;13.49;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;06.05.1994;5;5;2.15;18.58;13.86;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;07.05.1994;6;6;2.53;18.18;13.49;WYKL
503/93;DZP;Cyanistes;8;02.05.1994;08.05.1994;7;7;2.21;19.06;13.23;niewykl
503/93;DZP;Cyanistes;8;02.05.1994;09.05.1994;8;8;2.2;17.38;13.92;WYKL
509/82;SZP;PM;4;25.04.1994;25.04.1994;1;1;2.04;19.75;14.08;WYKL
509/82;SZP;PM;4;25.04.1994;26.04.1994;2;2;2.26;19.39;14.31;WYKL
509/82;SZP;PM;4;25.04.1994;27.04.1994;3;3;2.06;19.9;14.35;WYKL
509/82;SZP;PM;4;25.04.1994;28.04.1994;4;4;2.29;20.71;13.58;WYKL
511/82;LOM;PM;4;23.04.1994;23.04.1994;1;1;2.15;19.42;13.45;WYKL
511/82;LOM;PM;4;23.04.1994;24.04.1994;2;2;2.02;19.1;14.31;WYKL
511/82;LOM;PM;4;23.04.1994;25.04.1994;3;3;2.48;19.34;14.29;WYKL
511/82;LOM;PM;4;23.04.1994;26.04.1994;4;4;1.95;19.86;14.57;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;02.05.1994;1;01.02.2003;2.54;19.15;15.03;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;03.05.1994;2;01.02.2003;2.24;20.48;15.83;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;04.05.1994;3;01.02.2003;1.78;20.27;14.63;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;05.05.1994;4;4;2.93;20.32;15.06;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;06.05.1994;5;5;1.84;19.61;14.09;WYKL
512/92;DZP;ParusMayor;6;02.05.1994;07.05.1994;6;6;2.45;21.17;14.79;WYKL
514/88;LOM;ParusMayor;4;26.04.1994;26.04.1994;1;1;2.17;21;16.03;WYKL
514/88;LOM;ParusMayor;4;26.04.1994;27.04.1994;2;2;2.07;20.01;15.17;WYKL
514/88;LOM;ParusMayor;4;26.04.1994;28.04.1994;3;3;2.59;19.13;15.51;WYKL
514/88;LOM;ParusMayor;4;26.04.1994;29.04.1994;4;4;2.4;20.11;14.92;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;29.04.1994;1;1;1.71;18.22;13.17;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;30.04.1994;2;2;1.8;18.42;13.76;niewykl
515/76;DZL;Cyanistes;8;29.04.1994;01.05.1994;3;3;2.22;18.16;13.62;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;02.05.1994;4;4;2.36;18.2;13.6;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;03.05.1994;5;5;1.95;17.59;13.17;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;04.05.1994;6;6;2.48;19.77;13.86;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;05.05.1994;7;7;2.07;17.63;13.27;WYKL
515/76;DZL;Cyanistes;8;29.04.1994;06.05.1994;8;8;1.95;17.95;13.53;WYKL
519/93;DZP;Muscicapa;5;14.05.1994;14.05.1994;1;1;2.01;22.59;15.24;WYKL
519/93;DZP;Muscicapa;5;14.05.1994;15.05.1994;2;2;1.83;22.43;15.43;niewykl
519/93;DZP;Muscicapa;5;14.05.1994;16.05.1994;3;3;2.37;23.54;16.27;WYKL
519/93;DZP;Muscicapa;5;14.05.1994;17.05.1994;4;4;3.17;23.54;15.36;WYKL
519/93;DZP;Muscicapa;5;14.05.1994;18.05.1994;5;5;3.33;23.32;15.37;niewykl
520/93;LOM;ParusMayor;7;03.05.1994;03.05.1994;1;1;2.09;20.78;14.8;WYKL
520/93;LOM;ParusMayor;7;03.05.1994;04.05.1994;2;2;2.37;19.74;15.11;WYKL
520/93;LOM;ParusMayor;7;03.05.1994;05.05.1994;3;3;2.6;20.32;15.74;niewykl
520/93;LOM;ParusMayor;7;03.05.1994;06.05.1994;4;4;2.27;20.62;15.3;WYKL
520/93;LOM;ParusMayor;7;03.05.1994;07.05.1994;5;5;2.4;20.8;15.37;WYKL
520/93;LOM;ParusMayor;7;03.05.1994;08.05.1994;6;6;1.89;20.83;15.59;WYKL
520/93;LOM;ParusMayor;7;03.05.1994;09.05.1994;7;7;2.63;19.75;14.66;WYKL
525/93;SZP;ParusMayor;5;02.05.1994;02.05.1994;1;01.02.2003;2.01;20.76;14.75;WYKL
525/93;SZP;ParusMayor;5;02.05.1994;03.05.1994;2;01.02.2003;2.32;21.21;15.57;WYKL
525/93;SZP;ParusMayor;5;02.05.1994;04.05.1994;3;01.02.2003;2.25;21.43;15.03;WYKL
525/93;SZP;ParusMayor;5;02.05.1994;05.05.1994;4;4;2.37;20.21;15.88;WYKL
525/93;SZP;ParusMayor;5;02.05.1994;06.05.1994;5;5;2.43;21.36;15.26;WYKL
528/88;DZP;Ficedula;4;17.05.1994;17.05.1994;1;1;2.78;23.01;15.1;WYKL
528/88;DZP;Ficedula;4;17.05.1994;18.05.1994;2;2;2.57;23.06;15.52;WYKL
528/88;DZP;Ficedula;4;17.05.1994;19.05.1994;3;3;2.56;23.78;16.05;niewykl
528/88;DZP;Ficedula;4;17.05.1994;20.05.1994;4;4;2.66;21.67;16.75;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;26.04.1994;1;1;2.63;20.69;15.32;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;27.04.1994;2;2;2.55;20.05;15.73;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;28.04.1994;3;3;1.88;19;14.46;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;29.04.1994;4;4;2.15;19.83;14.84;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;30.04.1994;5;5;2.45;19.02;15.17;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;01.05.1994;6;6;2.53;20.12;15.32;WYKL
529/88;LOM;ParusMayor;7;26.04.1994;02.05.1994;7;7;2.93;20.14;15.24;WYKL
532/93;DZP;Cyanistes;5;02.05.1994;02.05.1994;1;01.02.2003;1.98;17.91;13.14;WYKL
532/93;DZP;Cyanistes;5;02.05.1994;03.05.1994;2;01.02.2003;2.26;19.29;13.18;WYKL
532/93;DZP;Cyanistes;5;02.05.1994;04.05.1994;3;01.02.2003;2.11;18.03;13.58;WYKL
532/93;DZP;Cyanistes;5;02.05.1994;05.05.1994;4;4;2.24;17.9;13.54;WYKL
532/93;DZP;Cyanistes;5;02.05.1994;06.05.1994;5;5;1.97;18.35;13.66;WYKL
540/82;DZP;ParusMayor;5;26.04.1994;26.04.1994;1;1;2.5;20.01;15.27;WYKL
540/82;DZP;ParusMayor;5;26.04.1994;27.04.1994;2;2;2.05;20.68;15.35;WYKL
540/82;DZP;ParusMayor;5;26.04.1994;28.04.1994;3;3;2.18;20.13;16.25;WYKL
540/82;DZP;ParusMayor;5;26.04.1994;29.04.1994;4;4;1.98;22.11;14.64;WYKL
540/82;DZP;ParusMayor;5;26.04.1994;30.04.1994;5;5;2.55;21.28;15.04;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;03.05.1994;1;1;1.79;17.71;13.61;niewykl
541/83;LOM;Cyanistes;7;03.05.1994;04.05.1994;2;2;2.17;17.23;13.47;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;05.05.1994;3;3;2.25;18.63;13.23;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;06.05.1994;4;4;2.04;18.74;13.58;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;07.05.1994;5;5;2.37;18.58;13.24;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;08.05.1994;6;6;2.5;18.95;13.3;WYKL
541/83;LOM;Cyanistes;7;03.05.1994;09.05.1994;7;7;2;19.42;13.58;WYKL
552/76;DZL;PM;5;27.04.1994;27.04.1994;1;1;2.18;20.61;14.01;WYKL
552/76;DZL;PM;5;27.04.1994;28.04.1994;2;2;2.13;18.81;14.53;WYKL
552/76;DZL;PM;5;27.04.1994;29.04.1994;3;3;2.1;18.94;14.29;WYKL
552/76;DZL;PM;5;27.04.1994;30.04.1994;4;4;2.44;20.38;13.28;WYKL
552/76;DZL;PM;5;27.04.1994;01.05.1994;5;5;2.26;18.79;14.91;WYKL
553/82;SZP;PM;5;26.04.1994;26.04.1994;1;1;2.55;18.64;13.51;WYKL
553/82;SZP;PM;5;26.04.1994;27.04.1994;2;2;2.34;19.04;14.34;WYKL
553/82;SZP;PM;5;26.04.1994;28.04.1994;3;3;2.11;18.6;13.61;WYKL
553/82;SZP;PM;5;26.04.1994;29.04.1994;4;4;2.16;20.16;14.2;WYKL
553/82;SZP;PM;5;26.04.1994;30.04.1994;5;5;2.43;20.62;13.37;WYKL
554/92;DZP;PD;5;22.04.1994;22.04.1994;1;1;2.6;22.97;15.27;WYKL
554/92;DZP;PD;5;22.04.1994;23.04.1994;2;2;2.82;22.54;14.32;WYKL
554/92;DZP;PD;5;22.04.1994;24.04.1994;3;3;2.45;22.09;15.16;WYKL
554/92;DZP;PD;5;22.04.1994;25.04.1994;4;4;2.6;22.35;14.55;WYKL
554/92;DZP;PD;5;22.04.1994;26.04.1994;5;5;2.59;21.94;15.49;WYKL
559/93;DAB;Muscicapa;5;13.05.1994;13.05.1994;1;1;2.71;24.18;16.11;WYKL
559/93;DAB;Muscicapa;5;13.05.1994;14.05.1994;2;2;2.25;22.59;15.76;WYKL
559/93;DAB;Muscicapa;5;13.05.1994;15.05.1994;3;3;2.6;23.35;15.9;WYKL
559/93;DAB;Muscicapa;5;13.05.1994;16.05.1994;4;4;3.01;22.68;17.29;WYKL
559/93;DAB;Muscicapa;5;13.05.1994;17.05.1994;5;5;2.56;23.72;15.39;WYKL
561/88;DZP;PM;5;26.04.1994;26.04.1994;1;1;2.28;19.5;14.18;WYKL
561/88;DZP;PM;5;26.04.1994;27.04.1994;2;2;2.21;19.89;13.93;WYKL
561/88;DZP;PM;5;26.04.1994;28.04.1994;3;3;2.31;19.09;13.85;WYKL
561/88;DZP;PM;5;26.04.1994;29.04.1994;4;4;2.18;19.78;13.84;WYKL
561/88;DZP;PM;5;26.04.1994;30.04.1994;5;5;2.39;18.65;14.59;WYKL
562/88;DZP;PD;3;29.04.1994;29.04.1994;1;1;2.29;23.39;15.53;WYKL
562/88;DZP;PD;3;29.04.1994;30.04.1994;2;2;2.08;20.81;14.69;WYKL
562/88;DZP;PD;3;29.04.1994;01.05.1994;3;3;2.42;22.66;15.61;WYKL
564/93;DAB;Muscicapa;4;14.05.1994;14.05.1994;1;1;2.71;23.04;14.27;niewykl
564/93;DAB;Muscicapa;4;14.05.1994;15.05.1994;2;2;2.59;23.76;15.58;WYKL
564/93;DAB;Muscicapa;4;14.05.1994;16.05.1994;3;3;3.38;21.57;16.32;WYKL
564/93;DAB;Muscicapa;4;14.05.1994;17.05.1994;4;4;2;24.14;15.31;WYKL
580/93;DAB;PD;5;30.04.1994;30.04.1994;1;1;2.2;21.09;15.73;WYKL
580/93;DAB;PD;5;30.04.1994;01.05.1994;2;2;2.06;22.86;15.06;WYKL
580/93;DAB;PD;5;30.04.1994;02.05.1994;3;3;2.41;24.1;14.72;niewykl
580/93;DAB;PD;5;30.04.1994;03.05.1994;4;4;2.12;20.13;15.7;WYKL
580/93;DAB;PD;5;30.04.1994;04.05.1994;5;5;2.57;23.13;15.04;WYKL
582/88;SZP;PD;5;24.04.1994;24.04.1994;1;1;2.23;21.54;14.59;niewykl
582/88;SZP;PD;5;24.04.1994;25.04.1994;2;2;2;23.74;14.93;WYKL
582/88;SZP;PD;5;24.04.1994;26.04.1994;3;3;2.12;21.17;15.34;WYKL
582/88;SZP;PD;5;24.04.1994;27.04.1994;4;4;2.26;22.01;15.48;WYKL
582/88;SZP;PD;5;24.04.1994;28.04.1994;5;5;2.14;22.78;15.05;WYKL
584/92;DZL;PD;4;26.04.1994;26.04.1994;1;1;2.56;23.21;14.5;WYKL
584/92;DZL;PD;4;26.04.1994;27.04.1994;2;2;2.43;19.43;16.27;niewykl
584/92;DZL;PD;4;26.04.1994;28.04.1994;3;3;2.03;21.33;14.99;niewykl
584/92;DZL;PD;4;26.04.1994;29.04.1994;4;4;2.98;22.19;15.5;WYKL
590/92;SZP;PD;3;24.04.1994;24.04.1994;1;1;2.33;22.06;14.9;WYKL
590/92;SZP;PD;3;24.04.1994;25.04.1994;2;2;2.49;21;14.4;WYKL
590/92;SZP;PD;3;24.04.1994;26.04.1994;3;3;2.25;19.87;15.05;WYKL
591/93;DZP;PM;6;01.05.1994;01.05.1994;1;01.lut;2.24;18.23;13.77;WYKL
591/93;DZP;PM;6;01.05.1994;02.05.1994;2;01.lut;2.03;18.42;13.78;WYKL
591/93;DZP;PM;6;01.05.1994;03.05.1994;3;3;1.95;19.54;14.09;WYKL
591/93;DZP;PM;6;01.05.1994;04.05.1994;4;4;2.48;19.19;14.71;WYKL
591/93;DZP;PM;6;01.05.1994;05.05.1994;5;5;2.06;19.32;14.29;WYKL
591/93;DZP;PM;6;01.05.1994;06.05.1994;6;6;2.02;19.94;14.18;WYKL
594/88;DAB;ParusMayor;6;02.05.1994;02.05.1994;1;01.02.2003;2.44;19.77;15.28;WYKL
594/88;DAB;ParusMayor;6;02.05.1994;03.05.1994;2;01.02.2003;2.18;20.42;15.18;WYKL
594/88;DAB;ParusMayor;6;02.05.1994;04.05.1994;3;01.02.2003;2.36;20.83;15.46;niewykl
594/88;DAB;ParusMayor;6;02.05.1994;05.05.1994;4;4;2.1;19.43;15.36;WYKL
594/88;DAB;ParusMayor;6;02.05.1994;06.05.1994;5;5;1.98;22.01;14.78;WYKL
594/88;DAB;ParusMayor;6;02.05.1994;07.05.1994;6;6;2.36;19.75;14.63;WYKL
595/88;LOM;Muscicapa;5;10.04.1994;10.04.1994;1;1;2.29;22.97;16.31;WYKL
595/88;LOM;Muscicapa;5;10.04.1994;11.04.1994;2;2;2.45;23.85;15.16;WYKL
595/88;LOM;Muscicapa;5;10.04.1994;12.04.1994;3;3;2.39;22.96;15.62;WYKL
595/88;LOM;Muscicapa;5;10.04.1994;13.04.1994;4;4;2.04;23.76;14.82;WYKL
595/88;LOM;Muscicapa;5;10.04.1994;14.04.1994;5;5;2.51;23.27;15.3;WYKL
597/88;DZP;ParusMayor;4;03.05.1994;03.05.1994;1;1;2.34;19.09;14.95;WYKL
597/88;DZP;ParusMayor;4;03.05.1994;04.05.1994;2;2;1.87;20.45;14.9;WYKL
597/88;DZP;ParusMayor;4;03.05.1994;05.05.1994;3;3;2.91;20.65;15.08;WYKL
597/88;DZP;ParusMayor;4;03.05.1994;06.05.1994;4;4;2.25;19.61;14.62;WYKL
604/83;DZL;PM;4;23.04.1994;23.04.1994;1;1;2.11;19.67;13.84;WYKL
604/83;DZL;PM;4;23.04.1994;24.04.1994;2;2;2.04;19.43;14.17;WYKL
604/83;DZL;PM;4;23.04.1994;25.04.1994;3;3;2.31;19.41;14.46;WYKL
604/83;DZL;PM;4;23.04.1994;26.04.1994;4;4;2.46;20.56;14.04;WYKL
616/83;DZP;PD;5;30.04.1994;30.04.1994;1;1;2.98;20.63;15.24;WYKL
616/83;DZP;PD;5;30.04.1994;01.05.1994;2;2;2.14;21.38;15.89;niewykl
616/83;DZP;PD;5;30.04.1994;02.05.1994;3;3;2.33;21.31;14.61;WYKL
616/83;DZP;PD;5;30.04.1994;03.05.1994;4;4;1.81;21.82;15.67;niewykl
616/83;DZP;PD;5;30.04.1994;04.05.1994;5;5;2.43;21.01;15.63;WYKL
626/88;DAB;PM;5;26.04.1994;26.04.1994;1;1;2.34;18.46;14.52;WYKL
626/88;DAB;PM;5;26.04.1994;27.04.1994;2;2;1.79;17.92;14.25;WYKL
626/88;DAB;PM;5;26.04.1994;28.04.1994;3;3;2.15;19.04;13.76;WYKL
626/88;DAB;PM;5;26.04.1994;29.04.1994;4;4;1.85;18.75;14.05;niewykl
626/88;DAB;PM;5;26.04.1994;30.04.1994;5;5;2.16;18.16;14.49;WYKL
627/83;DZP;PM;5;29.04.1994;29.04.1994;1;1;2.01;19.64;14.7;niewykl
627/83;DZP;PM;5;29.04.1994;30.04.1994;2;2;2.15;19.15;14.08;WYKL
627/83;DZP;PM;5;29.04.1994;01.05.1994;3;3;1.93;20.61;14.4;WYKL
627/83;DZP;PM;5;29.04.1994;02.05.1994;4;4;2.15;18.37;14.29;WYKL
627/83;DZP;PM;5;29.04.1994;03.05.1994;5;5;2.24;19.3;13.6;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;04.05.1994;1;1;1.92;17.95;13.52;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;05.05.1994;2;2;2.09;18.14;13.15;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;06.05.1994;3;3;2.15;17.12;14.25;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;07.05.1994;4;4;2.09;17.23;13.65;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;08.05.1994;5;5;2.25;19.08;13.84;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;09.05.1994;6;6;2.41;18.31;13.63;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;10.05.1994;7;7;1.76;17.48;13.59;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;11.05.1994;8;8;2.25;19.61;13.77;niewykl
629/88;DAB;Cyanistes;9;04.05.1994;12.05.1994;9;9;2.04;18.46;13.35;niewykl
634/88;SZP;Ficedula;5;12.05.1994;12.05.1994;1;1;2.82;24.57;15.36;WYKL
634/88;SZP;Ficedula;5;12.05.1994;13.05.1994;2;2;2.21;19.6;15.46;WYKL
634/88;SZP;Ficedula;5;12.05.1994;14.05.1994;3;3;2.49;20.71;14.45;niewykl
634/88;SZP;Ficedula;5;12.05.1994;15.05.1994;4;4;2.08;23.16;16.34;WYKL
634/88;SZP;Ficedula;5;12.05.1994;16.05.1994;5;5;2.41;23.35;15.91;WYKL
641/92;DAB;ParusMayor;5;04.05.1994;04.05.1994;1;1;2.12;20.2;15.88;WYKL
641/92;DAB;ParusMayor;5;04.05.1994;05.05.1994;2;2;2.62;19.47;14.5;WYKL
641/92;DAB;ParusMayor;5;04.05.1994;06.05.1994;3;3;2.74;20.56;15.05;WYKL
641/92;DAB;ParusMayor;5;04.05.1994;07.05.1994;4;4;2.79;19.84;14.57;WYKL
641/92;DAB;ParusMayor;5;04.05.1994;08.05.1994;5;5;1.77;21.36;14.85;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;11.05.1994;1;1;2.1;17.87;13.32;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;12.05.1994;2;2;2.16;16.58;13.56;niewykl
642/93;LOM;Cyanistes;7;11.05.1994;13.05.1994;3;3;2.19;18.17;14;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;14.05.1994;4;4;1.76;18.74;13.54;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;15.05.1994;5;5;1.84;17.47;13.85;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;16.05.1994;6;6;2.29;17.91;13.19;WYKL
642/93;LOM;Cyanistes;7;11.05.1994;17.05.1994;7;7;2.11;18.3;13.03;WYKL
648/93;DZP;PM;5;30.04.1994;30.04.1994;1;1;2.16;18.24;14.26;niewykl
648/93;DZP;PM;5;30.04.1994;01.05.1994;2;2;2.23;19.11;14.13;niewykl
648/93;DZP;PM;5;30.04.1994;02.05.1994;3;3;2.3;19.98;14.33;niewykl
648/93;DZP;PM;5;30.04.1994;03.05.1994;4;4;2.4;17.71;14.1;niewykl
648/93;DZP;PM;5;30.04.1994;04.05.1994;5;5;1.93;19.1;14.6;niewykl
654/88;DAB;PD;4;25.04.1994;25.04.1994;1;1;2.04;22.42;15.21;WYKL
654/88;DAB;PD;4;25.04.1994;26.04.1994;2;2;2.53;23.28;14;WYKL
654/88;DAB;PD;4;25.04.1994;27.04.1994;3;3;2.47;21.77;16.01;WYKL
654/88;DAB;PD;4;25.04.1994;28.04.1994;4;4;2.65;23.83;15.39;WYKL
660/82;DZL;ParusMayor;4;29.04.1994;29.04.1994;1;1;1.94;20.65;15.22;WYKL
660/82;DZL;ParusMayor;4;29.04.1994;30.04.1994;2;2;2.43;20.23;14.84;WYKL
660/82;DZL;ParusMayor;4;29.04.1994;01.05.1994;3;3;1.7;19.49;14.52;WYKL
660/82;DZL;ParusMayor;4;29.04.1994;02.05.1994;4;4;2.36;20.1;15.24;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;29.04.1994;1;1;1.95;18.39;13.36;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;30.04.1994;2;2;2.26;17.83;13.57;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;01.05.1994;3;3;2.21;18.06;13.06;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;02.05.1994;4;4;2.14;17.06;13.76;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;03.05.1994;5;5;2.16;17.72;13.03;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;04.05.1994;6;6;2.25;18.6;13.31;WYKL
674/93;DAB;Cyanistes;7;29.04.1994;05.05.1994;7;7;2.08;19.14;13.6;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;02.05.1994;1;01.02.2003;2.17;19.21;13.74;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;03.05.1994;2;01.02.2003;2.33;18.55;13.64;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;04.05.1994;3;01.02.2003;2.43;17.23;12.79;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;05.05.1994;4;4;2;18.22;13.72;WYKL
