NRBUDKI;KOLONIA;GATUNEK;LJAJ[k];DATA1ZNIE;DATAZNIE;NRJAJA;KOLZNIE;CIEZAR_ZNIE;DLUGOSC;SREDNICA;LOSJAJA
679/93;DZP;Cyanistes;7;02.05.1994;06.05.1994;5;5;2.15;18.43;13.4;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;07.05.1994;6;6;2.17;17.57;13.78;WYKL
679/93;DZP;Cyanistes;7;02.05.1994;08.05.1994;7;7;2.21;18.53;13.37;niewykl
691/82;SZP;Ficedula;5;10.04.1994;10.04.1994;1;1;2.52;21.73;14.46;WYKL
691/82;SZP;Ficedula;5;10.04.1994;11.04.1994;2;2;2.36;22.42;15.6;WYKL
691/82;SZP;Ficedula;5;10.04.1994;12.04.1994;3;3;2.26;24.03;14.99;WYKL
691/82;SZP;Ficedula;5;10.04.1994;13.04.1994;4;4;2.39;22.01;14.58;WYKL
691/82;SZP;Ficedula;5;10.04.1994;14.04.1994;5;5;2.38;23.02;15.45;WYKL
702/83;SZP;PD;5;24.04.1994;24.04.1994;1;1;2.29;21.58;14.74;niewykl
702/83;SZP;PD;5;24.04.1994;25.04.1994;2;2;2.71;23.92;15.14;WYKL
702/83;SZP;PD;5;24.04.1994;26.04.1994;3;3;2.61;23.28;15.35;WYKL
702/83;SZP;PD;5;24.04.1994;27.04.1994;4;4;1.88;19.13;16.01;WYKL
702/83;SZP;PD;5;24.04.1994;28.04.1994;5;5;2.69;22.37;15.1;WYKL
710/83;SZP;PM;6;27.04.1994;27.04.1994;1;1;2.02;19.14;14.34;WYKL
710/83;SZP;PM;6;27.04.1994;28.04.1994;2;2;2.26;19.2;14.48;WYKL
710/83;SZP;PM;6;27.04.1994;29.04.1994;3;3;1.9;19.15;14.07;WYKL
710/83;SZP;PM;6;27.04.1994;30.04.1994;4;4;2.26;19.92;14.17;WYKL
710/83;SZP;PM;6;27.04.1994;01.05.1994;5;5;1.88;17.89;13.86;WYKL
710/83;SZP;PM;6;27.04.1994;02.05.1994;6;6;2.01;19.79;14.17;WYKL
717/93;LOM;PD;5;23.04.1994;23.04.1994;1;1;2.23;21.51;15.52;WYKL
717/93;LOM;PD;5;23.04.1994;24.04.1994;2;2;2.43;20.5;14.88;WYKL
717/93;LOM;PD;5;23.04.1994;25.04.1994;3;3;2.66;19.38;15.25;WYKL
717/93;LOM;PD;5;23.04.1994;26.04.1994;4;4;2.51;22.06;15.49;WYKL
717/93;LOM;PD;5;23.04.1994;27.04.1994;5;5;2.61;22.45;15.69;WYKL
723/92;DZL;Muscicapa;5;09.04.1994;09.04.1994;1;1;1.91;25.65;15.95;WYKL
723/92;DZL;Muscicapa;5;09.04.1994;10.04.1994;2;2;2.65;22.96;16.18;WYKL
723/92;DZL;Muscicapa;5;09.04.1994;11.04.1994;3;3;2.43;22.79;16.2;niewykl
723/92;DZL;Muscicapa;5;09.04.1994;12.04.1994;4;4;2.92;21.48;15.04;niewykl
723/92;DZL;Muscicapa;5;09.04.1994;13.04.1994;5;5;2.33;22.85;15.69;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;03.05.1994;1;1;2.46;18.02;13;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;04.05.1994;2;2;2.36;17.72;13.18;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;05.05.1994;3;3;2.24;19.2;13.88;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;06.05.1994;4;4;2.07;19.56;13.71;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;07.05.1994;5;5;2.14;19;13.13;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;08.05.1994;6;6;1.67;18.22;13.6;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;09.05.1994;7;7;2.25;17.42;13.62;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;10.05.1994;8;8;2.2;19.68;13.89;WYKL
728/88;SZP;Cyanistes;9;03.05.1994;11.05.1994;9;9;2.4;19.27;13.36;WYKL
729/88;SZP;ParusMayor;5;04.05.1994;04.05.1994;1;1;2.83;20.59;14.64;WYKL
729/88;SZP;ParusMayor;5;04.05.1994;05.05.1994;2;2;2.17;21.07;14.87;WYKL
729/88;SZP;ParusMayor;5;04.05.1994;06.05.1994;3;3;2.03;19.5;15.53;WYKL
729/88;SZP;ParusMayor;5;04.05.1994;07.05.1994;4;4;1.97;19.99;15.34;WYKL
729/88;SZP;ParusMayor;5;04.05.1994;08.05.1994;5;5;1.88;18.45;15.83;WYKL
733/93;LOM;PM;5;23.04.1994;23.04.1994;1;1;1.79;17.9;14.08;WYKL
733/93;LOM;PM;5;23.04.1994;24.04.1994;2;2;2.37;20.11;14.38;WYKL
733/93;LOM;PM;5;23.04.1994;25.04.1994;3;3;2.32;18.23;13.32;WYKL
733/93;LOM;PM;5;23.04.1994;26.04.1994;4;4;2.39;20.33;14.45;WYKL
733/93;LOM;PM;5;23.04.1994;27.04.1994;5;5;2.36;19.62;13.84;WYKL
740/92;SZP;PM;3;30.04.1994;30.04.1994;1;1;2.19;18.68;14.28;niewykl
740/92;SZP;PM;3;30.04.1994;01.05.1994;2;2;2.54;20.06;13.65;WYKL
740/92;SZP;PM;3;30.04.1994;02.05.1994;3;3;1.8;19.76;14.4;WYKL
746/76;DZL;PM;5;25.04.1994;25.04.1994;1;1;2.42;20.08;14.59;WYKL
746/76;DZL;PM;5;25.04.1994;26.04.1994;2;2;2.44;18.42;14.57;WYKL
746/76;DZL;PM;5;25.04.1994;27.04.1994;3;3;2.25;20.98;14.34;WYKL
746/76;DZL;PM;5;25.04.1994;28.04.1994;4;4;2.2;18.97;13.81;niewykl
746/76;DZL;PM;5;25.04.1994;29.04.1994;5;5;2.03;19.58;14.75;WYKL
747/83;DZP;PD;5;27.04.1994;27.04.1994;1;1;2.4;21.99;15.44;WYKL
747/83;DZP;PD;5;27.04.1994;28.04.1994;2;2;2.33;21.77;15.19;niewykl
747/83;DZP;PD;5;27.04.1994;29.04.1994;3;3;2.11;23.99;14.85;WYKL
747/83;DZP;PD;5;27.04.1994;30.04.1994;4;4;2.58;24.6;14.83;WYKL
747/83;DZP;PD;5;27.04.1994;01.05.1994;5;5;2.35;20.04;16.08;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;02.05.1994;1;01.02.2003;2;19.5;14.63;niewykl
749/93;DAB;ParusMayor;8;02.05.1994;03.05.1994;2;01.02.2003;2.43;19.66;16.07;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;04.05.1994;3;01.02.2003;2.6;20.56;14.99;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;05.05.1994;4;4;2.33;20.63;15.88;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;06.05.1994;5;5;2.36;21.64;15.49;niewykl
749/93;DAB;ParusMayor;8;02.05.1994;07.05.1994;6;6;2.15;20.99;14.29;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;08.05.1994;7;7;2.24;20.42;16.4;WYKL
749/93;DAB;ParusMayor;8;02.05.1994;09.05.1994;8;8;2.88;21.3;14.56;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;29.04.1994;1;1;1.9;17.58;13.33;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;30.04.1994;2;2;2.24;19.28;13.36;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;01.05.1994;3;3;2.19;17.71;13.5;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;02.05.1994;4;4;2.25;16.9;13.62;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;03.05.1994;5;5;2.16;18.52;13.94;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;04.05.1994;6;6;2.16;18.45;13.19;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;05.05.1994;7;7;2.28;19.19;13.71;WYKL
751/88;DZP;Cyanistes;8;29.04.1994;06.05.1994;8;8;2.18;17.13;13.01;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;30.04.1994;1;1;1.88;18.39;13.58;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;01.05.1994;2;2;2.23;16.93;13.81;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;02.05.1994;3;3;2.18;17.99;12.76;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;03.05.1994;4;4;2.5;18.52;13.36;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;04.05.1994;5;5;2.17;18.84;13.54;niewykl
757/93;SZP;Cyanistes;9;30.04.1994;05.05.1994;6;6;1.92;16.85;13.76;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;06.05.1994;7;7;2.1;18.13;13.84;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;07.05.1994;8;8;1.75;18.25;13.39;WYKL
757/93;SZP;Cyanistes;9;30.04.1994;08.05.1994;9;9;2.09;18.04;13.48;niewykl
761/93;SZP;PD;5;27.04.1994;27.04.1994;1;1;1.93;23.24;15.16;WYKL
761/93;SZP;PD;5;27.04.1994;28.04.1994;2;2;2.05;20.44;14.01;niewykl
761/93;SZP;PD;5;27.04.1994;29.04.1994;3;3;1.96;22.01;15.3;WYKL
761/93;SZP;PD;5;27.04.1994;30.04.1994;4;4;2.67;22.88;14.44;niewykl
761/93;SZP;PD;5;27.04.1994;01.05.1994;5;5;2.55;23.03;15.96;WYKL
762/82;LOM;PD;3;28.04.1994;28.04.1994;1;1;2.74;21.29;16.18;WYKL
762/82;LOM;PD;3;28.04.1994;29.04.1994;2;2;1.7;20.92;15.35;WYKL
762/82;LOM;PD;3;28.04.1994;30.04.1994;3;3;2.3;22.05;15.66;niewykl
767/93;DZP;ParusMayor;6;28.04.1994;28.04.1994;1;1;2.21;19.71;13.84;WYKL
767/93;DZP;ParusMayor;6;28.04.1994;29.04.1994;2;2;2.41;21.08;14.96;WYKL
767/93;DZP;ParusMayor;6;28.04.1994;30.04.1994;3;3;2.69;21.94;14.69;WYKL
767/93;DZP;ParusMayor;6;28.04.1994;01.05.1994;4;4;2.15;21.67;15.32;WYKL
767/93;DZP;ParusMayor;6;28.04.1994;02.05.1994;5;5;2.48;20.12;14.36;WYKL
767/93;DZP;ParusMayor;6;28.04.1994;03.05.1994;6;6;2.29;20.85;14.78;WYKL
773/93;DZL;Cyanistes;6;02.05.1994;02.05.1994;1;01.02.2003;1.85;18.21;14.16;niewykl
773/93;DZL;Cyanistes;6;02.05.1994;03.05.1994;2;01.02.2003;1.78;19.7;13.25;WYKL
773/93;DZL;Cyanistes;6;02.05.1994;04.05.1994;3;01.02.2003;2.45;17.53;12.86;WYKL
773/93;DZL;Cyanistes;6;02.05.1994;05.05.1994;4;4;2.48;19.25;13.03;WYKL
773/93;DZL;Cyanistes;6;02.05.1994;06.05.1994;5;5;2.3;18.89;13.11;WYKL
773/93;DZL;Cyanistes;6;02.05.1994;07.05.1994;6;6;2.12;18.43;13.39;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;06.05.1994;1;1;2.43;18.96;14.42;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;07.05.1994;2;2;1.79;21.48;15.36;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;08.05.1994;3;3;2.24;19.65;15.75;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;09.05.1994;4;4;2.31;19.04;15.07;niewykl
776/88;LOM;ParusMayor;7;06.05.1994;10.05.1994;5;5;2.31;20.1;14.94;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;11.05.1994;6;6;1.84;21.37;15.51;WYKL
776/88;LOM;ParusMayor;7;06.05.1994;12.05.1994;7;7;2.52;19.56;15.69;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;29.04.1994;1;1;2.65;19.26;15.44;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;30.04.1994;2;2;2.1;21.36;15.42;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;01.05.1994;3;3;2.56;20.86;15.4;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;02.05.1994;4;4;1.77;19.69;14.76;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;03.05.1994;5;5;2.3;21.76;14.78;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;04.05.1994;6;6;2.36;19.29;15.47;WYKL
784/82;DZP;ParusMayor;7;29.04.1994;05.05.1994;7;7;2.25;18.79;14.78;WYKL
788/83;DZL;PD;5;29.04.1994;29.04.1994;1;1;2.36;24.55;16.29;WYKL
788/83;DZL;PD;5;29.04.1994;30.04.1994;2;2;2.09;23.49;15.58;WYKL
788/83;DZL;PD;5;29.04.1994;01.05.1994;3;3;2.29;21.78;15.8;WYKL
788/83;DZL;PD;5;29.04.1994;02.05.1994;4;4;2.6;21.72;14.98;WYKL
788/83;DZL;PD;5;29.04.1994;03.05.1994;5;5;2.38;24.82;14.38;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;27.04.1994;1;1;2.22;18.47;13.57;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;28.04.1994;2;2;1.95;17.16;12.94;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;29.04.1994;3;3;2.01;17.76;13.77;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;30.04.1994;4;4;2.16;16.38;13.44;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;01.05.1994;5;5;2.25;17.68;13.09;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;02.05.1994;6;6;2.15;18.22;13.75;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;03.05.1994;7;7;2.19;18.1;13.14;WYKL
790/88;DAB;Cyanistes;8;27.04.1994;04.05.1994;8;8;1.91;16.88;13.23;WYKL
792/92;DAB;PD;5;26.04.1994;26.04.1994;1;1;2.61;21.57;15.42;WYKL
792/92;DAB;PD;5;26.04.1994;27.04.1994;2;2;2.46;25.11;15.31;WYKL
792/92;DAB;PD;5;26.04.1994;28.04.1994;3;3;2.84;22.13;16.09;WYKL
792/92;DAB;PD;5;26.04.1994;29.04.1994;4;4;1.84;24.47;14.82;WYKL
792/92;DAB;PD;5;26.04.1994;30.04.1994;5;5;2.14;22.19;15.19;WYKL
793/82;SZP;PD;4;21.04.1994;21.04.1994;1;1;2.27;22.45;15.29;WYKL
793/82;SZP;PD;4;21.04.1994;22.04.1994;2;2;2.24;21.04;15.1;WYKL
793/82;SZP;PD;4;21.04.1994;23.04.1994;3;3;1.98;22.39;15.15;niewykl
793/82;SZP;PD;4;21.04.1994;24.04.1994;4;4;2.49;20.25;14.13;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;29.04.1994;1;1;2.16;18.09;14.03;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;30.04.1994;2;2;2.22;17.22;13.72;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;01.05.1994;3;3;1.86;17.83;13.33;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;02.05.1994;4;4;1.89;17.83;13.37;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;03.05.1994;5;5;1.99;16.86;13.14;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;04.05.1994;6;6;2.19;18.54;13.62;niewykl
797/92;DZL;Cyanistes;8;29.04.1994;05.05.1994;7;7;2.19;18.88;13.48;WYKL
797/92;DZL;Cyanistes;8;29.04.1994;06.05.1994;8;8;2.16;18.09;13.83;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;01.05.1994;1;01.lut;1.81;16.59;13.67;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;02.05.1994;2;01.lut;2.08;15.83;13.68;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;03.05.1994;3;3;2.15;18.25;13.41;niewykl
801/93;DZP;Cyanistes;9;01.05.1994;04.05.1994;4;4;1.9;18.79;13.29;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;05.05.1994;5;5;2.44;18.72;13.91;niewykl
801/93;DZP;Cyanistes;9;01.05.1994;06.05.1994;6;6;1.98;17.09;13.4;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;07.05.1994;7;7;2;18.04;13.14;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;08.05.1994;8;8;2.23;19.21;13.58;WYKL
801/93;DZP;Cyanistes;9;01.05.1994;09.05.1994;9;9;2.41;17.11;13.76;WYKL
811/93;LOM;PM;5;24.04.1994;24.04.1994;1;1;1.84;20.31;14.85;WYKL
811/93;LOM;PM;5;24.04.1994;25.04.1994;2;2;2.24;19.75;14.47;WYKL
811/93;LOM;PM;5;24.04.1994;26.04.1994;3;3;2.15;18.55;14.39;WYKL
811/93;LOM;PM;5;24.04.1994;27.04.1994;4;4;2.06;20.44;14.1;WYKL
811/93;LOM;PM;5;24.04.1994;28.04.1994;5;5;2.05;19.17;14.38;WYKL
817/76;DZP;PM;6;30.04.1994;30.04.1994;1;1;1.95;19.65;13.83;WYKL
817/76;DZP;PM;6;30.04.1994;01.05.1994;2;2;2.35;18.26;13.85;WYKL
817/76;DZP;PM;6;30.04.1994;02.05.1994;3;3;1.89;18.53;14.88;WYKL
817/76;DZP;PM;6;30.04.1994;03.05.1994;4;4;2.17;17.76;14.33;WYKL
817/76;DZP;PM;6;30.04.1994;04.05.1994;5;5;2.17;18.82;14.79;WYKL
817/76;DZP;PM;6;30.04.1994;05.05.1994;6;6;2.49;20.06;13.86;WYKL
821/83;DZP;Muscicapa;5;11.05.1994;11.05.1994;1;1;2.81;21.51;15.77;WYKL
821/83;DZP;Muscicapa;5;11.05.1994;12.05.1994;2;2;2.92;21.96;15.2;WYKL
821/83;DZP;Muscicapa;5;11.05.1994;13.05.1994;3;3;2.67;22.14;15.32;WYKL
821/83;DZP;Muscicapa;5;11.05.1994;14.05.1994;4;4;2.24;21.66;16.54;WYKL
821/83;DZP;Muscicapa;5;11.05.1994;15.05.1994;5;5;2.52;22.24;15.21;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;05.05.1994;1;1;2.46;17.2;13.52;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;06.05.1994;2;2;2.1;18.21;13.43;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;07.05.1994;3;3;2.13;19.08;13.33;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;08.05.1994;4;4;2.26;17.13;13.17;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;09.05.1994;5;5;2.26;17.13;13.34;WYKL
825/88;DAB;Cyanistes;6;05.05.1994;10.05.1994;6;6;2.18;17.95;13.44;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;06.05.1994;1;1;2.66;19.78;15.67;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;07.05.1994;2;2;2.26;20.39;15.26;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;08.05.1994;3;3;1.99;19.52;14.88;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;09.05.1994;4;4;1.76;21.42;15.17;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;10.05.1994;5;5;2.48;19.66;14.67;WYKL
826/88;DZP;ParusMayor;6;06.05.1994;11.05.1994;6;6;1.99;21.62;15.07;WYKL
837/83;DZP;PM;6;23.04.1994;23.04.1994;1;1;2.08;20.24;14.25;WYKL
837/83;DZP;PM;6;23.04.1994;24.04.1994;2;2;2.18;18.76;13.59;WYKL
837/83;DZP;PM;6;23.04.1994;25.04.1994;3;3;2.19;19.52;14.26;WYKL
837/83;DZP;PM;6;23.04.1994;26.04.1994;4;4;2.42;19.47;14.49;WYKL
837/83;DZP;PM;6;23.04.1994;27.04.1994;5;5;2.32;19.43;14.25;WYKL
837/83;DZP;PM;6;23.04.1994;28.04.1994;6;6;2.45;20.06;13.95;WYKL
845/93;SZP;Muscicapa;5;15.05.1994;15.05.1994;1;1;2.42;20.8;14.8;WYKL
845/93;SZP;Muscicapa;5;15.05.1994;16.05.1994;2;2;2.46;23.23;14.24;WYKL
845/93;SZP;Muscicapa;5;15.05.1994;17.05.1994;3;3;2.74;21.44;15.56;WYKL
845/93;SZP;Muscicapa;5;15.05.1994;18.05.1994;4;4;2.34;22.62;15.03;WYKL
845/93;SZP;Muscicapa;5;15.05.1994;19.05.1994;5;5;2.58;21.9;16.27;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;29.04.1994;1;1;1.99;19.96;14.85;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;30.04.1994;2;2;1.86;21.96;16.39;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;01.05.1994;3;3;2.75;19.68;15.49;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;02.05.1994;4;4;2.44;19.91;15.39;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;03.05.1994;5;5;2.6;18.22;14.78;WYKL
858/93;DZL;ParusMayor;6;29.04.1994;04.05.1994;6;6;2.57;19.94;15.66;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;29.04.1994;1;1;1.82;18.28;13.38;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;30.04.1994;2;2;2.05;16.4;13.14;niewykl
862/93;SZP;Cyanistes;8;29.04.1994;01.05.1994;3;3;2.25;18.29;13.64;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;02.05.1994;4;4;2.31;17.69;12.96;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;03.05.1994;5;5;2.21;17.48;13.35;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;04.05.1994;6;6;2.51;18.12;13.9;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;05.05.1994;7;7;2.41;18.01;13.2;WYKL
862/93;SZP;Cyanistes;8;29.04.1994;06.05.1994;8;8;2.28;16.95;13.46;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;06.05.1994;1;1;2.24;19.53;15.64;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;07.05.1994;2;2;1.88;18.94;14.91;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;08.05.1994;3;3;2.43;19.98;14.89;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;09.05.1994;4;4;2.82;19.72;14.92;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;10.05.1994;5;5;2.21;20.34;15.48;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;11.05.1994;6;6;2.21;20.4;15.27;WYKL
864/93;DZP;ParusMayor;7;06.05.1994;12.05.1994;7;7;2.15;20.98;15.35;niewykl
866/92;DZL;PM;5;24.04.1994;24.04.1994;1;1;1.79;20.77;14.41;WYKL
866/92;DZL;PM;5;24.04.1994;25.04.1994;2;2;2.08;19.74;14.47;WYKL
866/92;DZL;PM;5;24.04.1994;26.04.1994;3;3;1.94;19.74;13.3;WYKL
866/92;DZL;PM;5;24.04.1994;27.04.1994;4;4;2;19.53;14.02;WYKL
866/92;DZL;PM;5;24.04.1994;28.04.1994;5;5;1.99;19.26;13.83;niewykl
872/83;SZP;PD;5;22.04.1994;22.04.1994;1;1;2.5;22.21;15.6;WYKL
872/83;SZP;PD;5;22.04.1994;23.04.1994;2;2;2.33;22.63;15.33;WYKL
872/83;SZP;PD;5;22.04.1994;24.04.1994;3;3;2.45;24.11;15;WYKL
872/83;SZP;PD;5;22.04.1994;25.04.1994;4;4;2.03;21.76;14.69;WYKL
872/83;SZP;PD;5;22.04.1994;26.04.1994;5;5;2.47;22.61;15.32;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;28.04.1994;1;1;2.26;21.35;15.68;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;29.04.1994;2;2;1.8;20.79;15;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;30.04.1994;3;3;2.57;22.09;15.1;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;01.05.1994;4;4;2.54;19.95;14.7;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;02.05.1994;5;5;2.32;20.1;15.52;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;03.05.1994;6;6;2.08;18.96;15.79;WYKL
877/92;DZP;ParusMayor;7;28.04.1994;04.05.1994;7;7;2.14;21.16;15.58;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;02.05.1994;1;01.02.2003;2.05;17.82;13.6;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;03.05.1994;2;01.02.2003;2.13;18.32;13.04;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;04.05.1994;3;01.02.2003;2.25;17.68;13.89;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;05.05.1994;4;4;2.43;18.39;13.35;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;06.05.1994;5;5;2.11;19.14;13.28;WYKL
879/82;LOM;Cyanistes;7;02.05.1994;07.05.1994;6;6;1.79;18.28;13.95;niewykl
879/82;LOM;Cyanistes;7;02.05.1994;08.05.1994;7;7;2.33;18.35;13.97;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;06.05.1994;1;1;1.88;18.73;14.62;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;07.05.1994;2;2;2.76;19.54;16.12;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;08.05.1994;3;3;2.78;19.54;16.11;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;09.05.1994;4;4;2.47;20.31;14.23;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;10.05.1994;5;5;2.22;19.74;16.03;WYKL
881/88;LOM;ParusMayor;6;06.05.1994;11.05.1994;6;6;2.65;20.74;14.96;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;05.05.1994;1;1;2.15;18.99;13.31;niewykl
888/83;LOM;Cyanistes;9;05.05.1994;06.05.1994;2;2;2.07;17.92;13.24;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;07.05.1994;3;3;2.01;18.01;13.57;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;08.05.1994;4;4;2.27;18.45;13.57;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;09.05.1994;5;5;2.05;16.43;14.05;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;10.05.1994;6;6;2.09;19.04;13.85;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;11.05.1994;7;7;2.02;18.21;13.19;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;12.05.1994;8;8;2.19;18.2;13.6;WYKL
888/83;LOM;Cyanistes;9;05.05.1994;13.05.1994;9;9;2.54;17.59;13.43;niewykl
890/92;DZL;PM;5;27.04.1994;27.04.1994;1;1;2.12;20.74;13.46;niewykl
890/92;DZL;PM;5;27.04.1994;28.04.1994;2;2;2.04;19.34;13.95;niewykl
890/92;DZL;PM;5;27.04.1994;29.04.1994;3;3;2.01;19.7;13.92;niewykl
