NRBUDKI;KOLONIA;GATUNEK;LJAJ[k];DATA1ZNIE;DATAZNIE;NRJAJA;KOLZNIE;CIEZAR_ZNIE;DLUGOSC;SREDNICA;LOSJAJA
890/92;DZL;PM;5;27.04.1994;30.04.1994;4;4;1.94;19.42;14.05;niewykl
890/92;DZL;PM;5;27.04.1994;01.05.1994;5;5;2.45;19.24;13.9;niewykl
895/92;DAB;Muscicapa;5;16.05.1994;16.05.1994;1;1;1.89;23.86;14.55;WYKL
895/92;DAB;Muscicapa;5;16.05.1994;17.05.1994;2;2;2.7;23.2;15.14;WYKL
895/92;DAB;Muscicapa;5;16.05.1994;18.05.1994;3;3;2.73;21.49;15.67;WYKL
895/92;DAB;Muscicapa;5;16.05.1994;19.05.1994;4;4;2.52;22.09;14.37;WYKL
895/92;DAB;Muscicapa;5;16.05.1994;20.05.1994;5;5;2.84;23.82;15.47;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;07.05.1994;1;1;2.21;20.59;14.58;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;08.05.1994;2;2;2.07;20.02;15.13;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;09.05.1994;3;3;2.19;19.72;15.6;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;10.05.1994;4;4;1.8;19.79;15.08;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;11.05.1994;5;5;2.31;22.18;16.07;WYKL
910/88;DZP;ParusMayor;6;07.05.1994;12.05.1994;6;6;1.84;19.54;14.87;WYKL
913/92;DAB;PD;4;05.05.1994;05.05.1994;1;1;2.14;23.4;15.76;WYKL
913/92;DAB;PD;4;05.05.1994;06.05.1994;2;2;1.98;24.11;15.2;WYKL
913/92;DAB;PD;4;05.05.1994;07.05.1994;3;3;2.25;23.01;16.13;WYKL
913/92;DAB;PD;4;05.05.1994;08.05.1994;4;4;2.72;23.39;14.69;WYKL
915/83;LOM;PM;3;24.04.1994;24.04.1994;1;1;2.67;19.95;14.26;WYKL
915/83;LOM;PM;3;24.04.1994;25.04.1994;2;2;2.07;19.49;14.89;WYKL
915/83;LOM;PM;3;24.04.1994;26.04.1994;3;3;2.15;20.17;13.95;WYKL
918/93;DAB;PM;4;05.05.1994;05.05.1994;1;1;2.48;20.48;14.25;WYKL
918/93;DAB;PM;4;05.05.1994;06.05.1994;2;2;2.52;20.28;14.31;WYKL
918/93;DAB;PM;4;05.05.1994;07.05.1994;3;3;2.47;20.3;13.97;niewykl
918/93;DAB;PM;4;05.05.1994;08.05.1994;4;4;2.47;19.61;13.92;WYKL
921/82;DAB;PM;7;25.04.1994;25.04.1994;1;1;2.14;18.89;14.03;WYKL
921/82;DAB;PM;7;25.04.1994;26.04.1994;2;2;2.19;18.68;15.07;WYKL
921/82;DAB;PM;7;25.04.1994;27.04.1994;3;3;2.49;18.89;14.47;niewykl
921/82;DAB;PM;7;25.04.1994;28.04.1994;4;4;2.08;19.31;13.95;WYKL
921/82;DAB;PM;7;25.04.1994;29.04.1994;5;5;2.3;18.62;14.43;WYKL
921/82;DAB;PM;7;25.04.1994;30.04.1994;6;6;2.14;19.15;14.11;WYKL
921/82;DAB;PM;7;25.04.1994;01.05.1994;7;7;2.18;18.87;14.18;WYKL
935/83;DAB;Muscicapa;5;13.05.1994;13.05.1994;1;1;2.03;21.86;17.35;WYKL
935/83;DAB;Muscicapa;5;13.05.1994;14.05.1994;2;2;2.8;22.28;14.99;niewykl
935/83;DAB;Muscicapa;5;13.05.1994;15.05.1994;3;3;2.31;22.61;14.86;niewykl
935/83;DAB;Muscicapa;5;13.05.1994;16.05.1994;4;4;1.84;21.93;14.64;WYKL
935/83;DAB;Muscicapa;5;13.05.1994;17.05.1994;5;5;2.77;19.58;15.49;WYKL
937/83;SZP;PD;5;26.04.1994;26.04.1994;1;1;2.32;23.03;15.27;WYKL
937/83;SZP;PD;5;26.04.1994;27.04.1994;2;2;2.66;20.88;15.3;WYKL
937/83;SZP;PD;5;26.04.1994;28.04.1994;3;3;2.54;21.05;15.19;niewykl
937/83;SZP;PD;5;26.04.1994;29.04.1994;4;4;1.93;21.22;15.39;WYKL
937/83;SZP;PD;5;26.04.1994;30.04.1994;5;5;2.44;22.81;15.96;WYKL
952/88;DZP;ParusMayor;4;29.04.1994;29.04.1994;1;1;2.26;20.39;15.92;WYKL
952/88;DZP;ParusMayor;4;29.04.1994;30.04.1994;2;2;2.43;20.66;14.71;WYKL
952/88;DZP;ParusMayor;4;29.04.1994;01.05.1994;3;3;1.95;20.62;14.97;WYKL
952/88;DZP;ParusMayor;4;29.04.1994;02.05.1994;4;4;2.73;19.81;14.83;WYKL
959/92;LOM;PM;6;26.04.1994;26.04.1994;1;1;1.85;19.71;14.29;WYKL
959/92;LOM;PM;6;26.04.1994;27.04.1994;2;2;2.03;19.62;14.02;WYKL
959/92;LOM;PM;6;26.04.1994;28.04.1994;3;3;2.36;21.2;14.25;WYKL
959/92;LOM;PM;6;26.04.1994;29.04.1994;4;4;1.88;21.09;14.06;WYKL
959/92;LOM;PM;6;26.04.1994;30.04.1994;5;5;2.26;19.73;14.26;WYKL
959/92;LOM;PM;6;26.04.1994;01.05.1994;6;6;1.96;18.23;13.71;WYKL
964/92;LOM;Muscicapa;5;12.05.1994;12.05.1994;1;1;2.31;24.06;15.11;WYKL
964/92;LOM;Muscicapa;5;12.05.1994;13.05.1994;2;2;2.42;22.43;15.07;WYKL
964/92;LOM;Muscicapa;5;12.05.1994;14.05.1994;3;3;2.49;25.66;16.5;WYKL
964/92;LOM;Muscicapa;5;12.05.1994;15.05.1994;4;4;2.27;24.08;15.04;WYKL
964/92;LOM;Muscicapa;5;12.05.1994;16.05.1994;5;5;2.75;20.84;14.48;WYKL
965/88;SZP;PM;5;01.05.1994;01.05.1994;1;01.lut;2.2;18.38;14;WYKL
965/88;SZP;PM;5;01.05.1994;02.05.1994;2;01.lut;2.14;17.92;14.11;niewykl
965/88;SZP;PM;5;01.05.1994;03.05.1994;3;3;2.42;18.37;14.54;WYKL
965/88;SZP;PM;5;01.05.1994;04.05.1994;4;4;2.05;20.02;14.02;WYKL
965/88;SZP;PM;5;01.05.1994;05.05.1994;5;5;2.42;19.28;14.15;WYKL
970/83;DZP;PM;4;28.04.1994;28.04.1994;1;1;2.31;18.84;14.41;WYKL
970/83;DZP;PM;4;28.04.1994;29.04.1994;2;2;2.06;20.59;13.64;WYKL
970/83;DZP;PM;4;28.04.1994;30.04.1994;3;3;1.95;18.43;13.93;WYKL
970/83;DZP;PM;4;28.04.1994;01.05.1994;4;4;2.1;20.77;14.64;niewykl
983/82;DZL;ParusMayor;6;04.05.1994;04.05.1994;1;1;2.02;20.99;15.42;WYKL
983/82;DZL;ParusMayor;6;04.05.1994;05.05.1994;2;2;2.53;20.28;14.94;WYKL
983/82;DZL;ParusMayor;6;04.05.1994;06.05.1994;3;3;2.46;20.68;14.44;WYKL
983/82;DZL;ParusMayor;6;04.05.1994;07.05.1994;4;4;2.42;20.41;15.65;WYKL
983/82;DZL;ParusMayor;6;04.05.1994;08.05.1994;5;5;2.21;20.05;15.46;niewykl
983/82;DZL;ParusMayor;6;04.05.1994;09.05.1994;6;6;2.62;20.71;15.14;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;05.05.1994;1;1;1.91;18.43;13.2;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;06.05.1994;2;2;2.2;18.99;13.14;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;07.05.1994;3;3;1.7;18.16;13.92;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;08.05.1994;4;4;2.24;18.51;13.34;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;09.05.1994;5;5;1.93;18.56;13.69;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;10.05.1994;6;6;1.84;18.28;13.84;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;11.05.1994;7;7;1.95;17.26;13.91;WYKL
984/82;DAB;Cyanistes;8;05.05.1994;12.05.1994;8;8;2.15;16.9;13.15;WYKL
985/93;SZP;PD;4;26.04.1994;26.04.1994;1;1;2.01;21.82;15.97;WYKL
985/93;SZP;PD;4;26.04.1994;27.04.1994;2;2;1.96;21.34;15.98;WYKL
985/93;SZP;PD;4;26.04.1994;28.04.1994;3;3;2.17;20.18;16.03;niewykl
985/93;SZP;PD;4;26.04.1994;29.04.1994;4;4;2.51;23.4;15.35;WYKL
986/93;LOM;PD;5;26.04.1994;26.04.1994;1;1;2.17;21.52;15.4;WYKL
986/93;LOM;PD;5;26.04.1994;27.04.1994;2;2;2.13;21.75;15.36;WYKL
986/93;LOM;PD;5;26.04.1994;28.04.1994;3;3;2.22;22.24;15.65;WYKL
986/93;LOM;PD;5;26.04.1994;29.04.1994;4;4;1.77;22.45;14.66;WYKL
986/93;LOM;PD;5;26.04.1994;30.04.1994;5;5;2.48;22.52;15.59;WYKL
990/82;SZP;PD;5;25.04.1994;25.04.1994;1;1;2.81;22.92;14.8;WYKL
990/82;SZP;PD;5;25.04.1994;26.04.1994;2;2;2.45;21.22;14.89;WYKL
990/82;SZP;PD;5;25.04.1994;27.04.1994;3;3;2.41;22.88;15.3;WYKL
990/82;SZP;PD;5;25.04.1994;28.04.1994;4;4;2.37;22.03;15.4;WYKL
990/82;SZP;PD;5;25.04.1994;29.04.1994;5;5;2.64;20.72;15.44;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;06.05.1994;1;1;2.24;19.43;12.93;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;07.05.1994;2;2;2.26;18.77;13.4;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;08.05.1994;3;3;2.21;17.59;13.27;niewykl
991/76;LOM;Cyanistes;8;06.05.1994;09.05.1994;4;4;2.21;18.26;13.38;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;10.05.1994;5;5;1.98;18.24;13.09;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;11.05.1994;6;6;2.27;17.29;13.52;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;12.05.1994;7;7;2.05;17.68;13.52;WYKL
991/76;LOM;Cyanistes;8;06.05.1994;13.05.1994;8;8;2.11;18.06;13.58;WYKL
1009/83;SZP;PM;4;27.04.1994;27.04.1994;1;1;2.39;18.61;14.18;WYKL
1009/83;SZP;PM;4;27.04.1994;28.04.1994;2;2;2.42;20.3;14.7;WYKL
1009/83;SZP;PM;4;27.04.1994;29.04.1994;3;3;1.62;18.32;13.76;WYKL
1009/83;SZP;PM;4;27.04.1994;30.04.1994;4;4;2.34;20.19;14.56;WYKL
1011/92;SZP;PM;5;01.05.1994;01.05.1994;1;01.lut;2.21;19.86;13.75;WYKL
1011/92;SZP;PM;5;01.05.1994;02.05.1994;2;01.lut;2.29;19.7;14.27;WYKL
1011/92;SZP;PM;5;01.05.1994;03.05.1994;3;3;2.27;19.17;13.54;WYKL
1011/92;SZP;PM;5;01.05.1994;04.05.1994;4;4;2.46;18.73;13.81;WYKL
1011/92;SZP;PM;5;01.05.1994;05.05.1994;5;5;1.89;18.83;14.59;WYKL
1012/83;DAB;PM;5;27.04.1994;27.04.1994;1;1;2.53;19.28;14.7;WYKL
1012/83;DAB;PM;5;27.04.1994;28.04.1994;2;2;2.25;18.46;14.03;WYKL
1012/83;DAB;PM;5;27.04.1994;29.04.1994;3;3;1.85;20.48;13.8;WYKL
1012/83;DAB;PM;5;27.04.1994;30.04.1994;4;4;1.73;19.69;15.15;WYKL
1012/83;DAB;PM;5;27.04.1994;01.05.1994;5;5;2.18;18.98;14.28;WYKL
1015/93;SZP;PM;6;02.05.1994;02.05.1994;1;01.02.2003;2.14;19.38;14.08;WYKL
1015/93;SZP;PM;6;02.05.1994;03.05.1994;2;01.02.2003;2.4;20.62;14.66;WYKL
1015/93;SZP;PM;6;02.05.1994;04.05.1994;3;01.02.2003;2.13;19.74;14.31;WYKL
1015/93;SZP;PM;6;02.05.1994;05.05.1994;4;4;2.45;20.89;14.1;WYKL
1015/93;SZP;PM;6;02.05.1994;06.05.1994;5;5;2.21;21.1;14.08;WYKL
1015/93;SZP;PM;6;02.05.1994;07.05.1994;6;6;2.07;19.7;13.93;WYKL
1017/83;DZP;ParusMayor;5;09.05.1994;09.05.1994;1;1;2.09;20.43;15.91;WYKL
1017/83;DZP;ParusMayor;5;09.05.1994;10.05.1994;2;2;2.56;20.02;15.93;WYKL
1017/83;DZP;ParusMayor;5;09.05.1994;11.05.1994;3;3;2.04;20.12;15.02;WYKL
1017/83;DZP;ParusMayor;5;09.05.1994;12.05.1994;4;4;2.84;20.04;15.64;niewykl
1017/83;DZP;ParusMayor;5;09.05.1994;13.05.1994;5;5;2.08;19.71;15.83;WYKL
1024/83;DAB;PM;5;26.04.1994;26.04.1994;1;1;2.07;17.4;14.38;WYKL
1024/83;DAB;PM;5;26.04.1994;27.04.1994;2;2;2.54;19.06;14.39;WYKL
1024/83;DAB;PM;5;26.04.1994;28.04.1994;3;3;2.3;20.25;14.79;WYKL
1024/83;DAB;PM;5;26.04.1994;29.04.1994;4;4;1.94;20.09;14.56;WYKL
1024/83;DAB;PM;5;26.04.1994;30.04.1994;5;5;2.25;19.23;14.09;WYKL
1027/88;SZP;PM;5;29.04.1994;29.04.1994;1;1;2.09;19.66;13.88;WYKL
1027/88;SZP;PM;5;29.04.1994;30.04.1994;2;2;2.2;20.33;14.27;niewykl
1027/88;SZP;PM;5;29.04.1994;01.05.1994;3;3;2.09;21.35;14.32;WYKL
1027/88;SZP;PM;5;29.04.1994;02.05.1994;4;4;2.41;18.15;14.25;WYKL
1027/88;SZP;PM;5;29.04.1994;03.05.1994;5;5;2.09;18.37;15.08;WYKL
1034/93;DAB;Ficedula;5;16.05.1994;16.05.1994;1;1;2.91;22.7;15.33;WYKL
1034/93;DAB;Ficedula;5;16.05.1994;17.05.1994;2;2;2.62;23.02;15.71;WYKL
1034/93;DAB;Ficedula;5;16.05.1994;18.05.1994;3;3;2.96;23.77;15.26;WYKL
1034/93;DAB;Ficedula;5;16.05.1994;19.05.1994;4;4;2.73;22.41;15.03;WYKL
1034/93;DAB;Ficedula;5;16.05.1994;20.05.1994;5;5;2.79;20.78;16.2;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;28.04.1994;1;1;2.44;19.95;15.22;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;29.04.1994;2;2;2.4;19.72;15.01;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;30.04.1994;3;3;2.3;20.72;14.15;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;01.05.1994;4;4;2.03;18.74;15.84;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;02.05.1994;5;5;2.18;18.78;14.89;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;03.05.1994;6;6;2.02;20.43;14.53;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;04.05.1994;7;7;2.22;20.76;14.99;WYKL
1065/93;DAB;ParusMayor;8;28.04.1994;05.05.1994;8;8;2.11;19.16;14.68;WYKL
1066/83;SZP;PM;4;25.04.1994;25.04.1994;1;1;2.34;18.67;14.35;WYKL
1066/83;SZP;PM;4;25.04.1994;26.04.1994;2;2;2.32;18.86;13.52;WYKL
1066/83;SZP;PM;4;25.04.1994;27.04.1994;3;3;2.42;20.19;14.95;WYKL
1066/83;SZP;PM;4;25.04.1994;28.04.1994;4;4;2.57;20.02;13.65;niewykl
1069/88;DZP;ParusMayor;7;03.05.1994;03.05.1994;1;1;2.19;19.93;15.58;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;04.05.1994;2;2;2.39;20.93;15.47;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;05.05.1994;3;3;2.21;21.44;15.49;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;06.05.1994;4;4;2.28;19.47;15.32;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;07.05.1994;5;5;2.51;20.93;15.22;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;08.05.1994;6;6;2.2;20.11;15.27;WYKL
1069/88;DZP;ParusMayor;7;03.05.1994;09.05.1994;7;7;1.81;21.39;15.53;WYKL
1073/82;DZL;PD;4;02.05.1994;02.05.1994;1;01.02.2003;2.39;21.1;15.49;WYKL
1073/82;DZL;PD;4;02.05.1994;03.05.1994;2;01.02.2003;2.09;21.75;15.07;WYKL
1073/82;DZL;PD;4;02.05.1994;04.05.1994;3;01.02.2003;2.32;21.87;14.32;niewykl
1073/82;DZL;PD;4;02.05.1994;05.05.1994;4;4;2.29;21.5;15.42;WYKL
1079/88;DZP;PM;5;24.04.1994;24.04.1994;1;1;2.18;17.91;14.82;niewykl
1079/88;DZP;PM;5;24.04.1994;25.04.1994;2;2;2.22;19.83;14.56;WYKL
1079/88;DZP;PM;5;24.04.1994;26.04.1994;3;3;2.02;19.11;14.5;WYKL
1079/88;DZP;PM;5;24.04.1994;27.04.1994;4;4;2.26;19.82;14.39;WYKL
1079/88;DZP;PM;5;24.04.1994;28.04.1994;5;5;2.07;19.4;14.15;WYKL
1085/92;LOM;Muscicapa;5;09.04.1994;09.04.1994;1;1;1.74;24.93;14.89;niewykl
1085/92;LOM;Muscicapa;5;09.04.1994;10.04.1994;2;2;2;22.86;16.08;WYKL
1085/92;LOM;Muscicapa;5;09.04.1994;11.04.1994;3;3;2.25;22;16.55;WYKL
1085/92;LOM;Muscicapa;5;09.04.1994;12.04.1994;4;4;2.21;22.36;15.93;WYKL
1085/92;LOM;Muscicapa;5;09.04.1994;13.04.1994;5;5;2.72;23.6;15.13;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;03.05.1994;1;1;1.95;20.19;15.04;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;04.05.1994;2;2;2.46;20.06;14.67;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;05.05.1994;3;3;2.06;20.33;14.92;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;06.05.1994;4;4;2.13;20.52;14.64;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;07.05.1994;5;5;2.57;20.14;15.15;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;08.05.1994;6;6;1.98;21.61;16.36;WYKL
1086/88;DAB;ParusMayor;7;03.05.1994;09.05.1994;7;7;2.21;19.66;15.54;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;01.05.1994;1;01.lut;2.59;19.8;15.14;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;02.05.1994;2;01.lut;1.75;20.64;15.44;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;03.05.1994;3;3;2.74;19.83;15.33;niewykl
1087/92;DAB;ParusMayor;8;01.05.1994;04.05.1994;4;4;2.82;20.43;14.4;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;05.05.1994;5;5;2.32;20.53;15.25;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;06.05.1994;6;6;2.26;19.97;15.44;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;07.05.1994;7;7;2.45;20.47;15.9;WYKL
1087/92;DAB;ParusMayor;8;01.05.1994;08.05.1994;8;8;2.69;19.19;15.07;WYKL
1093/83;SZP;Ficedula;5;16.05.1994;16.05.1994;1;1;2.77;22.98;15.34;WYKL
1093/83;SZP;Ficedula;5;16.05.1994;17.05.1994;2;2;2.65;23.34;15.46;WYKL
1093/83;SZP;Ficedula;5;16.05.1994;18.05.1994;3;3;2.41;21.03;16.48;WYKL
1093/83;SZP;Ficedula;5;16.05.1994;19.05.1994;4;4;2.24;23.15;15.48;WYKL
1093/83;SZP;Ficedula;5;16.05.1994;20.05.1994;5;5;2.95;23.43;15.22;WYKL
1100/88;DZL;PD;5;25.04.1994;25.04.1994;1;1;1.85;23.19;14.97;WYKL
1100/88;DZL;PD;5;25.04.1994;26.04.1994;2;2;2.88;21.99;15.5;WYKL
1100/88;DZL;PD;5;25.04.1994;27.04.1994;3;3;2.13;21.43;14.79;niewykl
1100/88;DZL;PD;5;25.04.1994;28.04.1994;4;4;2.65;22.19;15.06;WYKL
1100/88;DZL;PD;5;25.04.1994;29.04.1994;5;5;2.51;23.73;15.48;WYKL
1101/93;DZP;Cyanistes;9;05.05.1994;05.05.1994;1;1;2.28;18.58;13.49;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;06.05.1994;2;2;1.97;16.78;13.46;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;07.05.1994;3;3;2.44;19.15;13.4;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;08.05.1994;4;4;2.25;17.55;13.45;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;09.05.1994;5;5;1.83;18.79;13.52;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;10.05.1994;6;6;2.11;17.19;13.92;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;11.05.1994;7;7;1.9;17.63;13.62;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;12.05.1994;8;8;2.31;19.36;13.67;niewykl
1101/93;DZP;Cyanistes;9;05.05.1994;13.05.1994;9;9;2.22;15.71;13.71;niewykl
1102/83;DAB;ParusMayor;5;05.05.1994;05.05.1994;1;1;1.87;18.97;14.87;WYKL
1102/83;DAB;ParusMayor;5;05.05.1994;06.05.1994;2;2;2.48;20.5;14.28;WYKL
1102/83;DAB;ParusMayor;5;05.05.1994;07.05.1994;3;3;1.84;19.57;16.11;WYKL
1102/83;DAB;ParusMayor;5;05.05.1994;08.05.1994;4;4;2.62;20.92;15.09;WYKL
1102/83;DAB;ParusMayor;5;05.05.1994;09.05.1994;5;5;1.84;19.53;15.42;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;03.05.1994;1;1;2.06;18.32;13.21;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;04.05.1994;2;2;2.25;18.61;13.6;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;05.05.1994;3;3;2.03;20.03;13.35;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;06.05.1994;4;4;2.14;18.72;13.75;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;07.05.1994;5;5;2.11;16.59;14.01;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;08.05.1994;6;6;2.17;17.1;13.59;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;09.05.1994;7;7;2.41;17.51;13.77;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;10.05.1994;8;8;2.17;16.91;13.29;WYKL
1115/93;DZP;Cyanistes;9;03.05.1994;11.05.1994;9;9;2.07;18.46;13.4;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;29.04.1994;1;1;2;18.98;13.65;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;30.04.1994;2;2;2.32;19.35;13.84;niewykl
1133/93;DAB;Cyanistes;8;29.04.1994;01.05.1994;3;3;2.33;16.54;14.02;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;02.05.1994;4;4;2.48;18.7;13.78;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;03.05.1994;5;5;1.96;16.89;13.59;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;04.05.1994;6;6;1.68;17.43;13.28;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;05.05.1994;7;7;2.01;18.81;13.4;WYKL
1133/93;DAB;Cyanistes;8;29.04.1994;06.05.1994;8;8;2.27;17.62;13.84;WYKL
1136/92;DZP;PD;5;23.04.1994;23.04.1994;1;1;2.51;22.85;14.6;WYKL
1136/92;DZP;PD;5;23.04.1994;24.04.1994;2;2;2.43;24.94;15.52;niewykl
1136/92;DZP;PD;5;23.04.1994;25.04.1994;3;3;2.86;22.8;15.18;WYKL
1136/92;DZP;PD;5;23.04.1994;26.04.1994;4;4;1.68;21.76;15.5;WYKL
1136/92;DZP;PD;5;23.04.1994;27.04.1994;5;5;2.02;21.87;15.75;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;26.04.1994;1;1;2.37;19.01;13.62;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;27.04.1994;2;2;2.04;18.51;13.36;niewykl
1141/93;DZL;Cyanistes;8;26.04.1994;28.04.1994;3;3;2.23;18.46;13.8;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;29.04.1994;4;4;2.23;18.54;13.91;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;30.04.1994;5;5;2.28;17.67;13.63;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;01.05.1994;6;6;2.59;18.71;13.87;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;02.05.1994;7;7;2.31;18.05;13.39;WYKL
1141/93;DZL;Cyanistes;8;26.04.1994;03.05.1994;8;8;2.37;19.14;13.32;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;27.04.1994;1;1;2.29;18.19;12.97;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;28.04.1994;2;2;2.3;18.22;13.23;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;29.04.1994;3;3;1.99;18.38;13.52;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;30.04.1994;4;4;2.09;18.03;13.81;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;01.05.1994;5;5;2.49;19.06;13.38;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;02.05.1994;6;6;2.47;18.06;13.27;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;03.05.1994;7;7;2;17.57;13.96;WYKL
1156/93;SZP;Cyanistes;8;27.04.1994;04.05.1994;8;8;2.03;18.12;13.24;WYKL
1163/92;LOM;ParusMayor;5;06.05.1994;06.05.1994;1;1;2.65;20.75;15.42;WYKL
1163/92;LOM;ParusMayor;5;06.05.1994;07.05.1994;2;2;2.12;21.2;14.55;WYKL
1163/92;LOM;ParusMayor;5;06.05.1994;08.05.1994;3;3;2.21;20.34;16.15;WYKL
1163/92;LOM;ParusMayor;5;06.05.1994;09.05.1994;4;4;2.23;20.01;15.52;WYKL
1163/92;LOM;ParusMayor;5;06.05.1994;10.05.1994;5;5;2.59;20.17;14.93;WYKL
1175/82;LOM;Cyanistes;6;06.05.1994;06.05.1994;1;1;1.8;19.03;13.57;niewykl
1175/82;LOM;Cyanistes;6;06.05.1994;07.05.1994;2;2;2.4;17.43;13.43;WYKL
1175/82;LOM;Cyanistes;6;06.05.1994;08.05.1994;3;3;2.06;18.27;13.08;WYKL
1175/82;LOM;Cyanistes;6;06.05.1994;09.05.1994;4;4;2.36;16.8;13.25;WYKL
1175/82;LOM;Cyanistes;6;06.05.1994;10.05.1994;5;5;2.12;18.44;13.3;WYKL
